Location,Price,Beds,Area
"H-13, Islamabad",1.3 Crore,3,4 Marla
"Gulshan-e-Sehat 1, E-18",1.45 Crore,4,5 Marla
"Green Avenue, Islamabad",2.2 Crore,4,5 Marla
"MPCHS - Block C1, MPCHS - Multi Gardens",2.2 Crore,4,5 Marla
"MPCHS - Multi Gardens, B-17",1.65 Crore,4,5 Marla
"Faisal Margalla City, B-17",2.2 Crore,4,5 Marla
"MPCHS - Multi Gardens, B-17",1.75 Crore,4,5 Marla
"MPCHS - Multi Gardens, B-17",2.15 Crore,4,6 Marla
"MPCHS - Multi Gardens, B-17",1.85 Crore,4,5 Marla
"MPCHS - Multi Gardens, B-17",2.15 Crore,4,5 Marla
"MPCHS - Multi Gardens, B-17",2.55 Crore,4,8 Marla
"Clock Tower, H-13",50.7 Lakh,1,1.7 Marla
"Bahria Enclave - Sector H, Bahria Enclave",1.45 Crore,3,7.5 Marla
"F-7, Islamabad",25.25 Crore,4,1.2 Kanal
"Maheen Arcade, Bahria Enclave",1.95 Crore,2,5.5 Marla
"DHA Defence Phase 3, DHA Defence",1.03 Crore,2,5.3 Marla
"Al-Safa Heights, F-11 Markaz",4.5 Crore,3,14 Marla
"Al-Safa Heights, F-11 Markaz",2.1 Crore,2,7.8 Marla
"The Arch, G-11/3",4.5 Crore,3,9.6 Marla
"F-11, Islamabad",3.5 Crore,3,10.7 Marla
"Al-Safa Heights, F-11 Markaz",2.5 Crore,2,7.8 Marla
"Clock Tower, H-13",59.8 Lakh,1,2 Marla
"Clock Tower, H-13",1.23 Crore,2,4.2 Marla
"Bahria Enclave - Sector C3, Bahria Enclave",4.4 Crore,4,10 Marla
"Bahria Enclave - Sector N, Bahria Enclave",1.9 Crore,3,5 Marla
"G-8/2, G-8",4.75 Crore,4,6 Marla
"Park View City, Islamabad",3.2 Crore,4,5 Marla
"MPCHS - Block F, MPCHS - Multi Gardens",1.8 Crore,4,5.6 Marla
"MPCHS - Multi Gardens, B-17",2.8 Crore,4,8 Marla
"MPCHS - Multi Gardens, B-17",1.82 Crore,4,5 Marla
"MPCHS - Multi Gardens, B-17",1.8 Crore,4,5 Marla
"Gulberg Arena Mall, Gulberg Greens",2 Crore,2,6.2 Marla
"Faisal Town - F-18, Islamabad",50 Lakh,1,1.7 Marla
"DHA Defence Phase 2, DHA Defence",4.25 Crore,4,5 Marla
"Bahria Enclave, Bahria Town",85 Lakh,1,2.8 Marla
"F-7, Islamabad",50 Crore,4,2.5 Kanal
